PresidentialCandidate	Vice PresidentialCandidate	PoliticalParty	Popular Vote	Electoral Vote	Year
John Quincy Adams	John Calhoun	Democratic-Republican	113,142	84	1824.0
Andrew Jackson	John Calhoun	Democratic-Republican	151,363	99	1824.0
William Crawford	Nathaniel Macon	Democratic-Republican	41,032	41	1824.0
Henry Clay	Nathan Sanford	Democratic-Republican	47,545	37	1824.0
Unpledged Republican	-	Republican	6,616	0	1824.0
Others	-	-	6,230	0	1824.0
Andrew Jackson	John Calhoun	Democratic	642,806	178	1828.0
John Quincy Adams	Richard Rush	Nat'l Republican	501,967	83	1828.0
Others	-	-	4,443	0	1828.0
Andrew Jackson	Martin Van Buren	Democratic	702,735	219	1832.0
Henry Clay	John Sergeant	Nat'l Republican	474,107	49	1832.0
John Floyd	Henry Lee	Ind. Democrat	0	11	1832.0
William Wirt	Amos Ellmaker	Anti-Masonic	99,817	7	1832.0
Others	-	-	7,061	0	1832.0
Martin Van Buren	Richard Johnson	Democratic	763,291	170	1836.0
William H. Harrison	Francis Granger	Whig	549,907	73	1836.0
Hugh White	John Tyler	Whig	146,107	26	1836.0
Daniel Webster	Francis Granger	Whig	41,201	14	1836.0
Willie Mangum	John Tyler	Whig	0	11	1836.0
Other (+)	 - 	 - 	2,305	0	1836.0
William H. Harrison	John Tyler	Whig	1,275,583	234	1840.0
Martin Van Buren	Richard M. Johnson	Democratic	1,129,645	60	1840.0
James G. Birney	Thomas Earle	Liberty	7,453	0	1840.0
Other (+)	 - 	 - 	13	0	1840.0
James K. Polk	George M. Dallas	Democratic	1,339,570	170	1844.0
Henry Clay	Theodore Frelinghuysen	Whig	1,300,157	105	1844.0
James G. Birney	Thomas Morris	Liberty	62,054	0	1844.0
Other (+)	 - 	 - 	2,083	0	1844.0
Zachary Taylor  	Millard Fillmore	Whig	1,360,235	163	1848.0
Lewis Cass  	William O. Butler	Democratic	1,222,353	127	1848.0
Martin Van Buren 	Charles F. Adams	Free Soil	291,475	0	1848.0
Other (+)	 - 	 - 	2,755	0	1848.0
Franklin Pierce  	William King	Democratic	1,605,943	254	1852.0
Winfield Scott  	William Graham	Whig	1,386,418	42	1852.0
John Hale  	George Julian	Free Soil	155,799	0	1852.0
Other (+)	 - 	 - 	11,480	0	1852.0
James Buchanan  	John Breckenridge	Democratic	1,835,140	174	1856.0
John Fr�mont  	William Dayton	Republican	1,340,668	114	1856.0
Millard Fillmore  	Andrew Donelson	Whig-American	872,703	8	1856.0
Other (+)	 - 	 - 	3,094	0	1856.0
Abraham Lincoln  	Hannibal Hamlin  	Republican	1,855,993	180	1860.0
John Breckenridge 	Joseph Lane	Southern Democrat	851,844	72	1860.0
John Bell  	Edward Everett	Constitutional Union	590,946	39	1860.0
Stephen Douglas  	Herschel Johnson	Democratic	1,381,944	12	1860.0
Other (+)	 - 	 - 	540	0	1860.0
Abraham Lincoln	Andrew Johnson	Republican	2,211,317	212	1864.0
George McClellan 	George Pendleton	Democratic	1,806,227	21	1864.0
Other (+)	 - 	 - 	658	0	1864.0
Ulysses Grant  	Schuyler Colfax	Republican	3,013,790	214	1868.0
Horatio Seymour	Francis Blair, Jr.	Democratic	2,708,980	80	1868.0
Other (+)	 - 	 - 	46	0	1868.0
Ulysses Grant  	Henry Wilson	Republican	3,597,439	286	1872.0
Horace Greeley  	B. Gratz Brown	Democratic	2,833,710	66	1872.0
Charles O'Conor  	John Q. Adams, II	Straight-Out Democrat 	23,054	0	1872.0
Other (+)	 - 	 - 	17,780	0	1872.0
Rutherford Hayes	William Wheeler	Republican	4,034,142	185	1876.0
Samuel Tilden	Thomas Hendricks	Democratic	4,286,808	184	1876.0
Peter Cooper	Samuel Cary	Greenback	83,726	0	1876.0
Other (+)	 - 	 - 	13,983	0	1876.0
James Garfield	Chester Arthur	Republican	4,453,337	214	1880.0
Winfield Hancock	William English	Democratic	4,444,267	155	1880.0
James Weaver	Benjamin Chambers	Greenback	306,135	0	1880.0
Other (+)	 - 	 - 	13,671	0	1880.0
Grover Cleveland	Thomas Hendricks	Democratic	4,914,482	219	1884.0
James Blaine	John Logan	Republican	4,856,903	182	1884.0
John St. John	William Daniel	Prohibition	150,890	0	1884.0
Benjamin Butler  	Absolom West	Greenback	134,294	0	1884.0
Other (+)	 - 	 - 	3,576	0	1884.0
Benjamin Harrison	Levi Morton	Republican	5,443,633	233	1888.0
Grover Cleveland	Allen Thurman	Democratic	5,538,163	168	1888.0
Clinton Fisk	John Brooks	Prohibition	250,017	0	1888.0
Alson Streeter	Charles Cunningham	Union Labor	149,115	0	1888.0
Other (+)	 - 	 - 	7,918	0	1888.0
Grover Cleveland	Adlai Stevenson	Democratic	5,553,898	277	1892.0
Benjamin Harrison	Whitelaw Reid	Republican	5,190,799	145	1892.0
James Weaver	James Field	Populist	1,026,595	22	1892.0
John Bidwell	James Cranfill	Prohibition	270,889	0	1892.0
Other (+)	 - 	 - 	25,846	0	1892.0
William McKinley	Garret Hobart	Republican	7,112,138	271	1896.0
William Bryan	Arthur SewallThomas Watson	Democratic	6,510,807	176	1896.0
John Palmer	Simon Buckner	National Democrat	133,537	0	1896.0
Joshua Levering	Hale Johnson	Prohibition	124,896	0	1896.0
Charles Matchett	Matthew Maguire	Socialist Labor	36,359	0	1896.0
Other (+)	 - 	 - 	20,937	0	1896.0
William McKinley	Theodore Roosevelt	Republican	7,218,283	292	1900.0
William Bryan	Adlai Stevenson	Democratic	6,358,149	155	1900.0
John Woolley	Henry Metcalf	Prohibition	209,132	0	1900.0
Eugene Debs	Job Harriman	Socialist	86,973	0	1900.0
Wharton Barker	Ignatius Donnelly	Populist	50,847	0	1900.0
Joseph Maloney	Valentine Remmel	Socialist Labor	40,968	0	1900.0
Other (+)	 - 	 - 	7,494	0	1900.0
Theodore Roosevelt	Charles Fairbanks	Republican	7,630,557	336	1904.0
Alton Parker	Henry Davis	Democratic	5,084,537	140	1904.0
Eugene Debs	Benjamin Hanford	Socialist	402,810	0	1904.0
Silas Swallow	George Carroll	Prohibition	259,103	0	1904.0
Thomas Watson	Thomas Tibbles	Populist	114,062	0	1904.0
Other (+)	 - 	 - 	34,690	0	1904.0
William Taft	James Sherman	Republican	7,678,174	321	1908.0
William Bryan	John Kern	Democratic	6,409,007	162	1908.0
