State	PresidentialCandidate	Electoral Vote	Popular Vote	Year	PoliticalParty
Alabama	Andrew Jackson	5	9,429	1824.0	Democratic-Republican
Alabama	John Quincy Adams	0	2,422	1824.0	Democratic-Republican
Alabama	Henry Clay	0	96	1824.0	Democratic-Republican
Alabama	William Crawford	0	1,656	1824.0	Democratic-Republican
Alabama	Others	0	0	1824.0	-
Connecticut	Andrew Jackson	0	0	1824.0	Democratic-Republican
Connecticut	John Quincy Adams	8	7,494	1824.0	Democratic-Republican
Connecticut	Henry Clay	0	0	1824.0	Democratic-Republican
Connecticut	William Crawford	0	1,965	1824.0	Democratic-Republican
Connecticut	Others	0	1,188	1824.0	-
Delaware	Andrew Jackson	0	0	1824.0	Democratic-Republican
Delaware	John Quincy Adams	1	0	1824.0	Democratic-Republican
Delaware	Henry Clay	2	0	1824.0	Democratic-Republican
Delaware	William Crawford	0	0	1824.0	Democratic-Republican
Delaware	Others	0	0	1824.0	-
Georgia	Andrew Jackson	0	0	1824.0	Democratic-Republican
Georgia	John Quincy Adams	0	0	1824.0	Democratic-Republican
Georgia	Henry Clay	9	0	1824.0	Democratic-Republican
Georgia	William Crawford	0	0	1824.0	Democratic-Republican
Georgia	Others	0	0	1824.0	-
Illinois	Andrew Jackson	2	1,272	1824.0	Democratic-Republican
Illinois	John Quincy Adams	1	1,516	1824.0	Democratic-Republican
Illinois	Henry Clay	0	1,036	1824.0	Democratic-Republican
Illinois	William Crawford	0	847	1824.0	Democratic-Republican
Illinois	Others	0	0	1824.0	-
Indiana	Andrew Jackson	5	7,343	1824.0	Democratic-Republican
Indiana	John Quincy Adams	0	3,095	1824.0	Democratic-Republican
Indiana	Henry Clay	0	5,315	1824.0	Democratic-Republican
Indiana	William Crawford	0	0	1824.0	Democratic-Republican
Indiana	Others	0	0	1824.0	-
Kentucky	Andrew Jackson	0	6,356	1824.0	Democratic-Republican
Kentucky	John Quincy Adams	0	0	1824.0	Democratic-Republican
Kentucky	Henry Clay	0	16,982	1824.0	Democratic-Republican
Kentucky	William Crawford	14	0	1824.0	Democratic-Republican
Kentucky	Others	0	0	1824.0	-
Louisiana	Andrew Jackson	3	0	1824.0	Democratic-Republican
Louisiana	John Quincy Adams	2	0	1824.0	Democratic-Republican
Louisiana	Henry Clay	0	0	1824.0	Democratic-Republican
Louisiana	William Crawford	0	0	1824.0	Democratic-Republican
